n,threshold,hr,category,ate,lower_ci,upper_ci
77,36,4,is_surgical,-100.16563400417684,-124.30898475797036,-74.12349108399235
68,37,4,is_surgical,-112.65967802208567,-137.78803079792468,-89.78908025627547
58,38,4,is_surgical,-120.27788750515046,-148.39254659652312,-90.7472735072613
45,39,4,is_surgical,-122.40401450828915,-160.98116034281938,-75.88202222036057
38,40,4,is_surgical,-121.66217195532894,-175.43043722727322,-69.60965345215465
5531,5,5,is_surgical,-20.445904885582195,-30.51946166117449,-11.354937444698237
5480,6,5,is_surgical,-15.746705087902228,-27.06465485029554,-5.8797580490486325
5428,7,5,is_surgical,-9.585957136037223,-16.73605454675544,-0.1902668354882735
5352,8,5,is_surgical,-13.239839459435984,-22.903172922448448,-4.598880718195062
5250,9,5,is_surgical,-9.611680048230653,-16.033615195424943,-3.0053749738385136
5104,10,5,is_surgical,-16.352738221085247,-22.32531985840302,-10.78629137663296
4871,11,5,is_surgical,-23.458520692336776,-31.00121225747,-19.231092453677036
4568,12,5,is_surgical,-32.662886632167385,-38.37697056751273,-28.11258740471203
4115,13,5,is_surgical,-39.28582529479405,-44.30848534151005,-34.337142735384646
3517,14,5,is_surgical,-48.01916891465504,-51.667666852580396,-44.235922313766906
3012,15,5,is_surgical,-50.214666590790756,-53.55903167394692,-46.257108827576786
2534,16,5,is_surgical,-51.395008512578016,-56.305709858950365,-46.92772548417105
2151,17,5,is_surgical,-52.143236607068644,-57.01671437711104,-48.11546161552579
1792,18,5,is_surgical,-53.295711505965414,-57.678134371979326,-49.65325065992781
1483,19,5,is_surgical,-55.72189417569646,-61.32550660145489,-49.926390962904975
1207,20,5,is_surgical,-58.15783627802,-63.498011727711,-53.58084261654824
990,21,5,is_surgical,-61.82349472051996,-67.15386446951965,-56.12520938618894
827,22,5,is_surgical,-65.5281255809594,-71.79953535819672,-58.47695181368135
681,23,5,is_surgical,-65.74092335117601,-74.01972272402142,-58.69634491073714
572,24,5,is_surgical,-70.33601030062741,-78.70091924443213,-61.485634583120486
485,25,5,is_surgical,-71.86730496339146,-82.18962978655026,-62.14478131306308
424,26,5,is_surgical,-75.90187086707559,-88.47984740318859,-66.95586805256065
351,27,5,is_surgical,-76.07992198005161,-88.25786279700893,-66.77475049968405
291,28,5,is_surgical,-74.92638866931813,-88.60577155796463,-59.81116832443183
249,29,5,is_surgical,-70.64403061185118,-84.07370231041327,-54.97093188925916
214,30,5,is_surgical,-66.37110426707073,-81.84688960305655,-50.547388592267396
180,31,5,is_surgical,-60.600244573492574,-80.68831077579415,-43.18649906090002
147,32,5,is_surgical,-63.826048491824935,-90.61469705498394,-41.96495342064503
130,33,5,is_surgical,-69.01125906620874,-97.41861878117555,-38.433380484947435
104,34,5,is_surgical,-61.13117939156902,-99.96626098094586,-26.40732253046744
90,35,5,is_surgical,-92.4422245435305,-112.43525280134233,-71.8035548309413
82,36,5,is_surgical,-94.98304114335352,-117.35502785908938,-67.10795507236645
67,37,5,is_surgical,-97.11787206419905,-122.3202566012439,-56.228812018337635
58,38,5,is_surgical,-94.96648902567324,-118.20735929199353,-62.332647969487965
51,39,5,is_surgical,-92.32420239765625,-127.83966542923235,-57.49489403741012
44,40,5,is_surgical,-89.72096214825439,-131.24457068090538,-52.308553481633965
4748,5,6,is_surgical,-17.005663602511333,-30.3798369073682,-6.927120743013802
4689,6,6,is_surgical,-14.845314106726846,-25.308457859481905,-4.915336969167129
4637,7,6,is_surgical,-11.694942519850883,-20.493390554835003,-4.511875754662469
4576,8,6,is_surgical,-14.615055419557223,-24.898929808073035,-5.037392620502658
4473,9,6,is_surgical,-18.64406870744773,-25.462504291827827,-10.903640611033325
4348,10,6,is_surgical,-21.26675438329363,-30.315324194887694,-15.789204052350726
4159,11,6,is_surgical,-28.466823939847814,-35.22295213510358,-22.755594918872532
3930,12,6,is_surgical,-35.190028061103135,-39.81151643484327,-30.250511685746517
3586,13,6,is_surgical,-38.763812321621,-44.42552388185288,-33.159908891982184
3102,14,6,is_surgical,-45.082610564159495,-49.62694008543082,-40.21914371961603
2663,15,6,is_surgical,-47.930881151805835,-53.18035242728661,-43.795385286012305
2259,16,6,is_surgical,-50.4950749784245,-55.59974392388213,-45.9383040819111
1933,17,6,is_surgical,-54.47369456253787,-58.296685936415514,-49.55388152725075
1616,18,6,is_surgical,-57.09380315929786,-62.885362424420066,-51.21450193045706
1344,19,6,is_surgical,-61.86468726435757,-67.51727736561946,-57.22267873734225
1121,20,6,is_surgical,-62.3047707305102,-67.2599811007224,-57.30167232900004
947,21,6,is_surgical,-66.48584345485907,-72.83646447868273,-61.69546785402787
789,22,6,is_surgical,-69.19073440374507,-75.13400260917274,-61.22067857511732
660,23,6,is_surgical,-71.91975695571708,-78.96847079227427,-64.91891446630461
561,24,6,is_surgical,-73.69238182757402,-80.25448911733298,-67.05111344227046
482,25,6,is_surgical,-76.36874939281554,-83.4221254393807,-67.86785455351864
411,26,6,is_surgical,-76.95567310118605,-87.4749302020553,-70.10706047851411
339,27,6,is_surgical,-79.32467698081618,-87.64406991899298,-70.76596489237699
287,28,6,is_surgical,-76.42495636092355,-87.69917083482721,-65.32856011796105
253,29,6,is_surgical,-76.38464282582538,-92.41244680025096,-63.0728991941227
222,30,6,is_surgical,-73.07969595481114,-86.75201610928852,-60.21453828298624
186,31,6,is_surgical,-73.22239358052414,-93.02398903170143,-60.579955383978984
162,32,6,is_surgical,-84.03970132884717,-100.40316427149023,-69.06398769639887
140,33,6,is_surgical,-79.76685844985036,-97.76776180009836,-59.810576814796406
119,34,6,is_surgical,-81.6077219764197,-105.22903511410243,-64.76604430741617
103,35,6,is_surgical,-72.13017802409414,-92.86539449270833,-55.809137220805525
89,36,6,is_surgical,-78.46471540648037,-106.75210287336265,-54.486718691502404
78,37,6,is_surgical,-79.8469994548467,-114.73895980816215,-52.539503587803694
65,38,6,is_surgical,-79.47094264483641,-121.46901424231027,-47.95676316814394
55,39,6,is_surgical,-59.36445558985602,-112.52025908391931,-24.7369932878521
47,40,6,is_surgical,-45.99876336339912,-127.83201583540387,-3.639388188098849
3996,5,7,is_surgical,-20.115022975679153,-31.682926939763888,-8.158790492158744
3948,6,7,is_surgical,-18.352248876624117,-27.986877052419004,-6.454857682920874
3913,7,7,is_surgical,-15.96784320645338,-25.61694840167445,-6.651327411910984
3866,8,7,is_surgical,-18.68647002762816,-26.910689131410038,-7.153819637488084
3752,9,7,is_surgical,-18.446487333555808,-26.042389759536945,-12.299467590940253
3651,10,7,is_surgical,-21.038534644575464,-27.73810714937605,-13.802600812428636
3501,11,7,is_surgical,-26.78326099709335,-31.81287463280279,-20.83408737165655
3303,12,7,is_surgical,-34.178981084719794,-39.167582795825865,-28.948000192292966
3042,13,7,is_surgical,-41.94922972668519,-47.53563428443056,-36.740686666105034
2683,14,7,is_surgical,-46.922102998861476,-52.833055519284756,-42.05197370939402
2337,15,7,is_surgical,-49.70776893788573,-54.065811832797294,-44.84584151509685
1976,16,7,is_surgical,-54.70401197312859,-59.611562056237716,-50.29353126503304
1708,17,7,is_surgical,-54.552945167433506,-59.880262549073024,-50.07955149068971
1464,18,7,is_surgical,-57.55044409839476,-62.906685411333,-53.04181639419065
1233,19,7,is_surgical,-60.142966066419376,-65.67859516657953,-54.307681014032454
1048,20,7,is_surgical,-62.38879690949835,-68.29552851281366,-56.548437976816075
886,21,7,is_surgical,-67.15995946330025,-74.63158193063506,-59.52043683304112
745,22,7,is_surgical,-69.47835831067283,-76.05768498032884,-63.57861879472884
640,23,7,is_surgical,-71.3556441671789,-76.8215380885168,-64.4337948526395
554,24,7,is_surgical,-75.12754609819078,-84.08355575761976,-70.06320860174421
477,25,7,is_surgical,-73.887868919694,-82.84491048728756,-67.16460950002275
409,26,7,is_surgical,-75.80034635686164,-84.2086270658219,-67.20405782863378
349,27,7,is_surgical,-73.87548677499737,-80.37504951372463,-65.25191739444492
299,28,7,is_surgical,-72.77631616441934,-82.04228274684613,-63.53445141349616
256,29,7,is_surgical,-70.90437173884521,-80.19002087201599,-61.984863320691545
221,30,7,is_surgical,-65.46686961886869,-78.70012111301159,-51.98271896314185
192,31,7,is_surgical,-65.13691858819504,-84.91179623872455,-54.19510287584933
153,32,7,is_surgical,-71.62530685082524,-84.2632412990121,-57.402740169065
135,33,7,is_surgical,-75.9022162997025,-90.1857507865657,-54.343835290644364
116,34,7,is_surgical,-75.6228460426893,-98.15234959868604,-54.20343277935106
101,35,7,is_surgical,-80.76054486493595,-100.86056636287009,-61.19629429848965
88,36,7,is_surgical,-81.62126273460044,-104.1723849136541,-54.51551004689094
75,37,7,is_surgical,-87.04898741849269,-112.52692615203455,-51.89388830427595
63,38,7,is_surgical,-85.94060430018894,-115.72286020984592,-46.52979158752288
58,39,7,is_surgical,-79.9416268819993,-118.11747210380793,-32.07875213490462
54,40,7,is_surgical,-73.1368619590958,-108.80844576473604,-37.473261475206186
3474,5,8,is_surgical,-30.726815896153823,-40.159737729737856,-21.104895820853642
3422,6,8,is_surgical,-28.31168810601588,-39.904217132693475,-17.108892590031417
3386,7,8,is_surgical,-23.43170786363538,-33.19163984422573,-12.318044069871405
3328,8,8,is_surgical,-27.647510071202532,-35.66905559048763,-19.626011325810055
3235,9,8,is_surgical,-32.19925364049959,-40.44018290145897,-25.19674688906582
3135,10,8,is_surgical,-28.480437921410726,-37.29848700615349,-19.592933336371743
3020,11,8,is_surgical,-30.685711702735432,-37.275848762225905,-22.616551320259873
2871,12,8,is_surgical,-36.78309448922647,-43.324810867479925,-30.02022199994917
2641,13,8,is_surgical,-43.48118986881559,-50.72904157551238,-38.384500344847766
2353,14,8,is_surgical,-51.994678445385034,-57.748700110020366,-46.30308037651065
2070,15,8,is_surgical,-54.2608223712333,-58.508295093917326,-49.877206299931856
1808,16,8,is_surgical,-57.58188059017786,-64.29871405794844,-51.70147565134894
1589,17,8,is_surgical,-59.24258469945906,-63.99289099638628,-54.59194441246083
1365,18,8,is_surgical,-58.870427651076795,-64.21549662209338,-54.622705618775996
1145,19,8,is_surgical,-62.420476931251756,-67.17011538798025,-57.63024901399476
966,20,8,is_surgical,-63.36269888595348,-70.29146645147421,-58.296313058697905
838,21,8,is_surgical,-65.05340837596748,-70.34113785737651,-59.07708544697579
724,22,8,is_surgical,-65.7772335899771,-71.35026632745533,-59.029566389511785
609,23,8,is_surgical,-68.74721586585218,-77.51628346228358,-61.758998327192415
526,24,8,is_surgical,-70.87765306583213,-79.27980474997744,-63.07383400652847
469,25,8,is_surgical,-71.95194221953136,-78.77781877590633,-63.71573163964271
399,26,8,is_surgical,-69.95713992818108,-79.97890326553815,-62.24431126527816
337,27,8,is_surgical,-73.3180579046352,-85.85863476051426,-63.38343098584329
294,28,8,is_surgical,-76.0710585438787,-88.78796142718676,-68.77443776753509
255,29,8,is_surgical,-78.54212997326772,-89.19407069519522,-63.87497473080751
223,30,8,is_surgical,-79.09482790349392,-87.55960288636322,-67.40005123249782
190,31,8,is_surgical,-77.08726128759125,-95.58391666791857,-64.79493615703831
162,32,8,is_surgical,-77.47964285205921,-91.65414085413332,-63.653277043994194
134,33,8,is_surgical,-78.20404727086839,-101.70895644416296,-59.289004955925265
111,34,8,is_surgical,-83.06673796183131,-111.63314606814154,-68.09991291131232
98,35,8,is_surgical,-82.93815050130064,-118.13127918090365,-56.811264061079925
88,36,8,is_surgical,-80.51810422962072,-113.8758352380018,-46.848995735847495
74,37,8,is_surgical,-84.92927131534293,-118.02846094761148,-44.29969792514976
60,38,8,is_surgical,-106.27397825566928,-141.8536083323184,-67.87049928255638
53,39,8,is_surgical,-96.97848763655693,-145.07443031876178,-43.86259763385431
42,40,8,is_surgical,-84.85985030082642,-128.35271707120157,-17.510511778567434
3063,5,9,is_surgical,-29.03348680344959,-39.59292503528826,-20.374365805710568
3033,6,9,is_surgical,-30.0952233430786,-41.62457543331317,-21.530181421615282
2991,7,9,is_surgical,-22.250173246498775,-31.655931180668972,-13.21201110444622
2930,8,9,is_surgical,-25.992269507209528,-34.47069192326012,-17.197151832935106
2855,9,9,is_surgical,-26.541568823683008,-35.586472327468925,-19.943485278568346
2758,10,9,is_surgical,-26.691196427903776,-35.578648616783596,-17.418957407334176
2665,11,9,is_surgical,-28.91943390310263,-37.14255113886799,-22.38695461460219
2539,12,9,is_surgical,-32.51524046960071,-39.81776988717439,-25.2317602250522
2376,13,9,is_surgical,-38.40714148867005,-44.393851031834515,-31.79645536405843
2138,14,9,is_surgical,-46.04900254732064,-52.02942906621692,-39.49272584830584
1894,15,9,is_surgical,-50.538739773871924,-55.15583710041972,-44.825733578157156
1684,16,9,is_surgical,-50.66350530815993,-56.082012233367294,-44.93069440604236
1498,17,9,is_surgical,-53.66622444936388,-59.1905670898864,-50.25221591561447
1303,18,9,is_surgical,-56.758409413010725,-62.10538468759444,-52.074964879647524
1118,19,9,is_surgical,-58.233263237144826,-63.842970435267944,-52.8023265291136
954,20,9,is_surgical,-59.29707217658273,-64.34944719688625,-53.2184369999795
836,21,9,is_surgical,-61.14188839326951,-67.30176728463906,-55.25758377988075
705,22,9,is_surgical,-60.13010819320007,-66.56161222122225,-52.70740443099092
612,23,9,is_surgical,-63.372511549212675,-69.52021066112914,-56.05694748094939
525,24,9,is_surgical,-62.546296808675095,-70.83683367734272,-55.48720214662268
464,25,9,is_surgical,-63.80394359064016,-71.83361369340105,-55.557210961633814
403,26,9,is_surgical,-64.29364369541491,-74.238455320773,-57.11506253617159
348,27,9,is_surgical,-64.10008632896489,-73.96534261344789,-56.37035356688111
297,28,9,is_surgical,-63.33911108263669,-72.42654590194218,-54.35326008408046
262,29,9,is_surgical,-66.11636975969213,-78.76673593024933,-55.92857983881359
228,30,9,is_surgical,-66.95772531058566,-81.65483381470284,-54.75793880741321
195,31,9,is_surgical,-65.28159584749267,-77.1990669692743,-50.261066221257096
166,32,9,is_surgical,-64.04374866877521,-79.45876409398377,-51.86697010856244
138,33,9,is_surgical,-73.89511884590371,-92.90336697799839,-60.252602541141016
115,34,9,is_surgical,-74.13690943079752,-101.63981323913711,-48.801668278885785
101,35,9,is_surgical,-73.56915859170266,-99.51951343024652,-49.929757634180135
90,36,9,is_surgical,-71.79695777885635,-98.31604870658074,-45.4123280664744
77,37,9,is_surgical,-66.6267022272796,-96.74533086439854,-34.68249696968306
65,38,9,is_surgical,-46.174609163121175,-71.59708166454575,-22.39361636445824
57,39,9,is_surgical,-37.69228248232352,-79.33871449565532,-8.562896345011637
48,40,9,is_surgical,-27.7936906894264,-73.72257371985324,15.684992556726087
2762,5,10,is_surgical,-32.799618304230194,-45.01022214197434,-21.261971278055
2720,6,10,is_surgical,-25.432902615991736,-37.75611418365054,-14.360380719438751
2669,7,10,is_surgical,-20.810558366264956,-30.881505885674642,-10.547906327288274
2630,8,10,is_surgical,-21.33120364294666,-31.85038793644702,-10.731497194607357
2559,9,10,is_surgical,-26.85813160423828,-35.50303344696749,-18.9246937685503
2479,10,10,is_surgical,-24.57432919596573,-34.61231426268813,-16.133956275163257
2395,11,10,is_surgical,-25.657417465924937,-34.97830056774802,-15.91851191932642
2292,12,10,is_surgical,-31.509677157937517,-37.24885652214965,-23.132845498165977
2140,13,10,is_surgical,-38.0846511108129,-45.56525658600799,-31.65248118740101
1940,14,10,is_surgical,-45.10066641086519,-51.24868843123795,-39.17736250983651
1748,15,10,is_surgical,-50.22399939537587,-56.40415697534482,-44.49965088793712
1550,16,10,is_surgical,-55.217901658851446,-60.10432188625049,-48.62264703032733
1377,17,10,is_surgical,-57.250377023687236,-63.92531000870895,-52.932264196722684
1196,18,10,is_surgical,-59.627552453043336,-65.74730702373947,-55.90507878624831
1041,19,10,is_surgical,-61.1058113796079,-67.47953240580154,-56.44415594556207
897,20,10,is_surgical,-60.259071373390555,-67.90152990946677,-52.55200772387357
784,21,10,is_surgical,-62.441253873247604,-68.7172621015539,-57.06306772870468
672,22,10,is_surgical,-64.47667691245965,-72.2705154285645,-57.51213841728742
579,23,10,is_surgical,-67.37844019085082,-74.50586805845518,-62.09205990422441
509,24,10,is_surgical,-67.1907937413923,-74.53280592638453,-59.850984805173596
444,25,10,is_surgical,-69.98000914755676,-78.62194258023658,-62.27283607842338
387,26,10,is_surgical,-72.0596112803025,-81.50283696881064,-63.441738180143204
336,27,10,is_surgical,-70.01489270239546,-80.25637107691065,-62.549785425630915
283,28,10,is_surgical,-66.72591049121604,-79.39276333595814,-55.727394537820004
244,29,10,is_surgical,-67.92955840451813,-79.56676205928423,-56.971398177405405
219,30,10,is_surgical,-67.24878360619951,-78.2126249472771,-55.332674485937474
185,31,10,is_surgical,-70.32750003065493,-83.7014646122096,-54.99195627815038
160,32,10,is_surgical,-67.81481283770523,-87.40469301661551,-50.78789524119793
140,33,10,is_surgical,-66.7282103201652,-85.425814259509,-48.924272300411076
116,34,10,is_surgical,-64.14610449669209,-88.93198467987486,-33.042638055089384
