itemid,item,item_en,vocabulary_id,vocabulary_concept_code,vocabulary_concept_name,abbreviation,categoryid,category,category_en,ordercategoryid,ordercategory,islabresult,valueid,value,unitid,unit,ucum_code,low_normal_value,high_normal_value,expected_min_value,expected_max_value,table,count,count_validated
12281,Piek druk,peak inspiratory airway pressure,LOINC,19976-0,Maximum [Pressure] Respiratory system airway opening --during inspiration on ventilator,P peak,586,RESP-Servo Patiëntgegevens,NaN,NA,NaN,0,NA,NaN,175,cmH2O,cm[H2O],NaN,NaN,NA,NA,numericitems,15622631,1279253
12273,Exp. minuut volume,expiratory minute volume,LOINC,76008-2,Expired minute Volume during Mechanical ventilation,MVe,586,RESP-Servo Patiëntgegevens,NaN,NA,NaN,0,NA,NaN,26,l/min,L/min,NaN,NaN,NA,NA,numericitems,15623732,1279091
12275,Exp. tidal volume,expiratory tidal volume,LOINC,20107-9,Tidal volume expired spontaneous+mechanical Respiratory system airway --on ventilator,VTe,586,RESP-Servo Patiëntgegevens,NaN,NA,NaN,0,NA,NaN,6,ml,mL,NaN,NaN,NA,NA,numericitems,15621567,1279056
6694,Eind exp. druk,positive end expiratory pressure measurement,LOINC,76248-4,PEEP Respiratory system --on ventilator,PEEP,586,RESP-Servo Patiëntgegevens,NaN,NA,NaN,0,NA,NaN,175,cmH2O,cm[H2O],NaN,NaN,NA,NA,numericitems,15624081,1278830
12276,Insp. Minuut volume,inspiratory minute volume,LOINC,76009-0,Inspired minute Volume during Mechanical ventilation,MVi,586,RESP-Servo Patiëntgegevens,NaN,NA,NaN,0,NA,NaN,26,l/min,L/min,NaN,NaN,NA,NA,numericitems,15621645,1278657
12279,O2 concentratie,inspired oxygen concentration measurement,LOINC,19995-0,Oxygen/Inspired gas Respiratory system by O2 Analyzer --on ventilator,O2%,329,RESP-O2aanbod,NaN,NA,NaN,0,NA,NaN,191,Geen,NaN,NaN,NaN,NA,NA,numericitems,15645395,1274067
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,NA,NaN,0,1,NSR,NA,NaN,NaN,NaN,NaN,NA,NA,listitems,1203779,1203779
12286,PS boven PEEP (Set),pressure support above PEEP setting,LOINC,20079-0,Pressure support setting Ventilator,PS boven PEEP,587,RESP-Servo Machinegegevens,NaN,NA,NaN,0,NA,NaN,175,cmH2O,cm[H2O],NaN,NaN,NA,NA,numericitems,10799693,961936
8874,Ademfrequentie Monitor,respiratory rate monitor,LOINC,9279-1,Respiratory rate,Ademfreq. (Monitor),586,RESP-Servo Patiëntgegevens,NaN,NA,NaN,0,NA,NaN,0,None,NaN,NaN,NaN,NA,NA,numericitems,25776086,857738
9947,Glucose (bloed),glucose,LOINC,15074-8,Glucose [Moles/volume] in Blood,Glucose (bloed),490,LAB-Chem-bloed,NaN,NA,NaN,1,NA,NaN,97,mmol/l,mmol/L,"3,8",8,NA,NA,numericitems,820898,820898
6707,End tidal CO2 concentratie,end tidal carbon dioxide partial pressure,LOINC,19891-1,Carbon dioxide [Partial pressure] in Exhaled gas --at end expiration,EtCO2,586,RESP-Servo Patiëntgegevens,NaN,NA,NaN,0,NA,NaN,173,mmHg,mm[Hg],NaN,NaN,NA,NA,numericitems,10327178,666550
9990,pCO2 (bloed),partial pressure of carbon dioxide in blood,LOINC,11557-6,Carbon dioxide [Partial pressure] in Blood,pCO2 (bloed),491,LAB-Astr-bloed,NaN,NA,NaN,1,NA,NaN,173,mmHg,mm[Hg],35,45,NA,NA,numericitems,659807,659807
12310,pH (bloed),blood pH,LOINC,11558-4,pH of Blood,pH (bloed),491,LAB-Astr-bloed,NaN,NA,NaN,1,NA,NaN,191,Geen,NaN,"7,35","7,45",NA,NA,numericitems,659777,659777
8845,O2 l/min,oxygen flow (l/min),LOINC,19941-4,Oxygen gas flow Oxygen delivery system,O2 l/min,329,RESP-O2aanbod,NaN,NA,NaN,0,NA,NaN,26,l/min,L/min,NaN,NaN,NA,NA,numericitems,656405,656405
9996,PO2 (bloed),partial pressure of oxygen blood,LOINC,11556-8,Oxygen [Partial pressure] in Blood,PO2 (bloed),491,LAB-Astr-bloed,NaN,NA,NaN,1,NA,NaN,173,mmHg,mm[Hg],76,NaN,NA,NA,numericitems,654417,654417
10285,K (onv.ISE) (bloed),potassium - direct ion specific electrode measurement,LOINC,6298-4,Potassium [Moles/volume] in Blood,K (onv.ISE) (bloed),490,LAB-Chem-bloed,NaN,NA,NaN,1,NA,NaN,97,mmol/l,mmol/L,"3,5","4,5",NA,NA,numericitems,542007,542007
10284,Na (onv.ISE) (bloed),sodium - direct ion specific electrode measurement,LOINC,2947-0,Sodium [Moles/volume] in Blood,Na (onv.ISE) (bloed),490,LAB-Chem-bloed,NaN,NA,NaN,1,NA,NaN,97,mmol/l,mmol/L,NaN,NaN,NA,NA,numericitems,527724,527724
11646,Afname (bloed),specimen source,LOINC,47938-6,Specimen source [Identifier] of Body fluid,Afname (bloed),491,LAB-Astr-bloed,NaN,NA,NaN,1,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,freetextitems,515230,515230
11545,Ht(v.Bgs) (bloed),hematocrit,LOINC,20570-8,Hematocrit [Volume Fraction] of Blood,Ht(v.Bgs) (bloed),500,LAB-Hem-bloed,NaN,NA,NaN,1,NA,NaN,191,Geen,NaN,"0,35","0,5",NA,NA,numericitems,494384,494384
10286,Hb(v.Bgs) (bloed),hemoglobin (blood gas),LOINC,59260-0,Hemoglobin [Moles/volume] in Blood],Hb(v.Bgs) (bloed),500,LAB-Hem-bloed,NaN,NA,NaN,1,NA,NaN,97,mmol/l,mmol/L,"7,5",11,NA,NA,numericitems,493874,493874
6655,CVD,central venous pressure (CVP),LOINC,60985-9,Central venous pressure (CVP),CVD,323,HD-Bloeddrukken,hemodynamics-blood pressures,NA,NaN,0,NA,NaN,173,mmHg,mm[Hg],-1,40,-10,40,numericitems,483942,483940
12283,Adem Frequentie (Set),respiratory rate setting,LOINC,19834-1,Breath rate setting Ventilator,Adem. Freq,587,RESP-Servo Machinegegevens,NaN,NA,NaN,0,NA,NaN,15,/min,/min,NaN,NaN,NA,NA,numericitems,4216281,463308
12285,PC boven PEEP (Set),pressure control above PEEP setting,LOINC,76152-8,Airway pressure delta setting Ventilator,PC boven PEEP (Set),587,RESP-Servo Machinegegevens,NaN,NA,NaN,0,NA,NaN,175,cmH2O,cm[H2O],NaN,NaN,NA,NA,numericitems,4069976,456455
9233,Houding patiënt,patient position,SNOMED CT,397155001,Body position,Houding patiënt,426,DIVERSEN,miscellaneous,NA,NaN,0,1,Rugligging,NA,NaN,NaN,NaN,NaN,NA,NA,listitems,279026,279026
9924,Natrium (bloed),sodium,LOINC,2951-2,Sodium [Moles/volume] in Serum or Plasma,Natrium (bloed),490,LAB-Chem-bloed,NaN,NA,NaN,1,NA,NaN,97,mmol/l,mmol/L,136,146,NA,NA,numericitems,226219,226219
8829,Pupil Links Reactie,Pupillary response Left pupil,LOINC,79899-1,Pupillary response Left pupil,Reactie Li,336,NEURO-Functies,NaN,NA,NaN,0,1,+,NA,NaN,NaN,NaN,NaN,NA,NA,listitems,223279,223279
9927,Kalium (bloed),potassium,LOINC,2823-3,Potassium [Moles/volume] in Serum or Plasma,Kalium (bloed),490,LAB-Chem-bloed,NaN,NA,NaN,1,NA,NaN,97,mmol/l,mmol/L,"3,5","4,5",NA,NA,numericitems,220787,220787
8830,Pupil Rechts Reactie,Pupillary response Right pupil,LOINC,79815-7,Pupillary response Right pupil,Reactie Re,336,NEURO-Functies,NaN,NA,NaN,0,1,+,NA,NaN,NaN,NaN,NaN,NA,NA,listitems,220604,220604
9960,Hb (bloed),hemoglobin,LOINC,59260-0,Hemoglobin [Moles/volume] in Blood],Hb (bloed),500,LAB-Hem-bloed,NaN,NA,NaN,1,NA,NaN,97,mmol/l,mmol/L,"7,5",11,NA,NA,numericitems,216027,216027
9964,Thrombo's (bloed),platelets,LOINC,26515-7,Platelets [#/volume] in Blood,Thrombo's (bloed),500,LAB-Hem-bloed,NaN,NA,NaN,1,NA,NaN,101,10^9/l,10*9/L,150,400,NA,NA,numericitems,214452,214452
13060,Temp Axillair,axillary temperature,LOINC,8328-7,Axillary temperature,Temp Axillair,322,HD-Temperatuur,hemodynamics-temperature,NA,NaN,0,NA,NaN,59,°C,Cel,NaN,NaN,NA,NA,numericitems,202198,202198
11423,Ht (bloed),hematocrit,LOINC,20570-8,Hematocrit [Volume Fraction] of Blood,Ht (bloed),500,LAB-Hem-bloed,NaN,NA,NaN,1,NA,NaN,191,Geen,NaN,"0,35","0,5",NA,NA,numericitems,200516,200516
8658,Temp Bloed,blood temperature,LOINC,60834-9,Blood temperature,Temp Bloed,322,HD-Temperatuur,hemodynamics-temperature,NA,NaN,0,NA,NaN,59,°C,Cel,NaN,NaN,NA,NA,numericitems,1999754,196894
9941,Kreatinine (bloed),serum creatinine,LOINC,15045-8,Creatine [Moles/volume] in Serum or Plasma,Kreatinine (bloed),490,LAB-Chem-bloed,NaN,NA,NaN,1,NA,NaN,99,µmol/l,umol/L,60,110,NA,NA,numericitems,196186,196186
6644,PAP systolisch,pulmonary artery systolic pressure,LOINC,8440-0,Pulmonary artery Systolic blood pressure,PAPs,325,HD-Profiel,hemodynamic profile,NA,NaN,0,NA,NaN,173,mmHg,mm[Hg],NaN,NaN,0,100,numericitems,1818402,194505
6645,PAP gemiddeld,pulmonary artery mean pressure,LOINC,8414-5,Pulmonary artery Mean blood pressure,PAPm,325,HD-Profiel,hemodynamic profile,NA,NaN,0,NA,NaN,173,mmHg,mm[Hg],15,25,0,80,numericitems,1819309,194406
6646,PAP diastolisch,pulmonary artery diastolic pressure,LOINC,8385-7,Pulmonary artery Diastolic blood pressure,PAPd,325,HD-Profiel,hemodynamic profile,NA,NaN,0,NA,NaN,173,mmHg,mm[Hg],NaN,NaN,0,100,numericitems,1811489,194246
9965,Leuco's (bloed),white blood cell count,LOINC,26464-8,Leukocytes [#/volume] in Blood,Leuco's (bloed),500,LAB-Hem-bloed,NaN,NA,NaN,1,NA,NaN,101,10^9/l,10*9/L,4,10,NA,NA,numericitems,191174,191174
10053,Lactaat (bloed),lactate,LOINC,32693-4,Lactate [Moles/volume] in Blood,Lactaat (bloed),490,LAB-Chem-bloed,NaN,NA,NaN,1,NA,NaN,97,mmol/l,mmol/L,0,"2,2",NA,NA,numericitems,182155,182155
8662,Temperatuur Perifeer 1,peripheral temperature,LOINC,61008-9,Body surface temperature,Temp Perifeer 1,322,HD-Temperatuur,hemodynamics-temperature,NA,NaN,0,NA,NaN,59,°C,Cel,NaN,NaN,NA,NA,numericitems,172138,168297
6678,Niet invasieve bloeddruk systolisch,non-invasive systolic arterial pressure,LOINC,76534-7,Systolic blood pressure by Noninvasive,NIBPs,323,HD-Bloeddrukken,hemodynamics-blood pressures,NA,NaN,0,NA,NaN,173,mmHg,mm[Hg],NaN,NaN,40,250,numericitems,192123,123684
6680,Niet invasieve bloeddruk diastolisch,non-invasive diastolic arterial pressure,LOINC,76535-4,Diastolic blood pressure by Noninvasive,NIBPd,323,HD-Bloeddrukken,hemodynamics-blood pressures,NA,NaN,0,NA,NaN,173,mmHg,mm[Hg],NaN,NaN,20,150,numericitems,190431,122297
6679,Niet invasieve bloeddruk gemiddeld,non-invasive mean arterial pressure,LOINC,76536-2,Mean blood pressure by Noninvasive,NIBPm,323,HD-Bloeddrukken,hemodynamics-blood pressures,NA,NaN,0,NA,NaN,173,mmHg,mm[Hg],NaN,NaN,30,150,numericitems,190760,122240
6734,Beste motore reactie van de armen,Glasgow Coma Score motor response subscore,LOINC,9268-4,Glasgow coma score motor,M,335,NEURO-GCS,NaN,NA,NaN,0,1,Volgt verbale commando's op,NA,NaN,[score],NaN,NaN,1,6,listitems,112307,112307
6732,Actief openen van de ogen,Glasgow Coma Score eye opening subscore,LOINC,9267-6,Glasgow coma score eye opening,E,335,NEURO-GCS,NaN,NA,NaN,0,1,Spontane reactie,NA,NaN,[score],NaN,NaN,1,4,listitems,103268,103268
8805,CVVH Onttrokken,CRRT net ultrafiltration,SNOMED CT,251850009,Ultrafiltrate fluid loss,CVVH-Onttrokken,347,VB-CVVH,NaN,NA,NaN,0,NA,NaN,6,ml,mL,NaN,NaN,NA,NA,numericitems,98383,98383
14838,MFT_TMP,CRRT transmembrane pressure,NaN,NaN,NaN,MFT_TMP,681,CVVH-MFT,NaN,NA,NaN,0,NA,NaN,173,mmHg,mm[Hg],NaN,NaN,NA,NA,numericitems,2088513,96006
14835,MFT_Arteriele druk,CRRT access pressure,NaN,NaN,NaN,MFT_Arteriele druk,681,CVVH-MFT,NaN,NA,NaN,0,NA,NaN,173,mmHg,mm[Hg],NaN,NaN,NA,NA,numericitems,2087832,95994
14837,MFT_Veneuze druk,CRRT return pressure,NaN,NaN,NaN,MFT_Veneuze druk,681,CVVH-MFT,NaN,NA,NaN,0,NA,NaN,173,mmHg,mm[Hg],NaN,NaN,NA,NA,numericitems,2087608,95919
14850,MFT_Bloedflow (ingesteld),CRRT blood flow setting,NaN,NaN,NaN,MFT_Bloedflow (ingesteld),681,CVVH-MFT,NaN,NA,NaN,0,NA,NaN,24,ml/min,mL/min,NaN,NaN,NA,NA,numericitems,1949033,95341
14849,MFT_Ultrafiltratie (ingesteld),CRRT net ultrafiltration rate,NaN,NaN,NaN,MFT_Ultrafiltratie (ingesteld),681,CVVH-MFT,NaN,NA,NaN,0,NA,NaN,46,ml/uur,mL/h,NaN,NaN,NA,NA,numericitems,1948560,94853
14839,MFT_Pre-filter druk,CRRT pre-filter pressure / pre-blood entry pressure,NaN,NaN,NaN,MFT_Pre-filter druk,681,CVVH-MFT,NaN,NA,NaN,0,NA,NaN,173,mmHg,mm[Hg],NaN,NaN,NA,NA,numericitems,2085182,93255
14836,MFT_Filtraat druk,CRRT ultrafiltration pressure,NaN,NaN,NaN,MFT_Filtraat druk,681,CVVH-MFT,NaN,NA,NaN,0,NA,NaN,173,mmHg,mm[Hg],NaN,NaN,NA,NA,numericitems,2086046,93249
8663,Temperatuur Plaats 1,temperature location,LOINC,8327-9,Body temperature measurement site,Temp Plaats 1,322,HD-Temperatuur,hemodynamics-temperature,NA,NaN,0,1,Axillair,NA,NaN,NaN,NaN,NaN,NA,NA,listitems,91214,91214
13059,Temp Lies,groin temperature,SNOMED CT,415929009,Groin temperature,Temp Lies,322,HD-Temperatuur,hemodynamics-temperature,NA,NaN,0,NA,NaN,59,°C,Cel,NaN,NaN,NA,NA,numericitems,89321,89321
14851,MFT_UF Totaal (ingesteld),CRRT net ultrafiltration volume setting,NaN,NaN,NaN,MFT_UF Totaal (ingesteld),681,CVVH-MFT,NaN,NA,NaN,0,NA,NaN,6,ml,mL,NaN,NaN,NA,NA,numericitems,1796778,87933
6699,FiO2 %,inspired oxygen concentration setting,LOINC,19994-3,Oxygen/Inspired gas setting [Volume Fraction] Ventilator,FiO2%,329,RESP-O2aanbod,NaN,NA,NaN,0,NA,NaN,191,Geen,NaN,NaN,NaN,NA,NA,numericitems,91881,83474
14848,MFT_Substituaat (ingesteld),CRRT replacement fluid rate setting,NaN,NaN,NaN,MFT_Substituaat (ingesteld),681,CVVH-MFT,NaN,NA,NaN,0,NA,NaN,46,ml/uur,mL/h,NaN,NaN,NA,NA,numericitems,1130284,81707
8873,Ademfrequentie Evita,respiratory rate setting,LOINC,19834-1,Breath rate setting Ventilator,AF Evita,331,ZZ-OUD-Resp-PatientGeg.,NaN,NA,NaN,0,NA,NaN,0,None,NaN,NaN,NaN,NA,NA,numericitems,85780,77570
8862,PEEP/CPAP,positive end expiratory pressure setting/continuous positive airway pressure,LOINC,35410-0,Continuous positive airway pressure Respiratory system,PEEP/CPAP,330,ZZ-OUD-Resp-Evita Machinegegevens,NaN,NA,NaN,0,NA,NaN,177,mbar,mbar,NaN,NaN,NA,NA,numericitems,85923,77267
8877,Peak druk,peak inspiratory airway pressure,LOINC,19976-0,Maximum [Pressure] Respiratory system airway opening --during inspiration on ventilator,Peak druk,331,ZZ-OUD-Resp-PatientGeg.,NaN,NA,NaN,0,NA,NaN,177,mbar,mbar,NaN,NaN,NA,NA,numericitems,85106,76567
8879,PEEP (gemeten),positive end expiratory pressure measurement,LOINC,76248-4,PEEP Respiratory system --on ventilator,PEEP (gemeten),331,ZZ-OUD-Resp-PatientGeg.,NaN,NA,NaN,0,NA,NaN,177,mbar,mbar,NaN,NaN,NA,NA,numericitems,83693,76452
7666,Arteriele druk,CRRT access pressure,NaN,NaN,NaN,PA,350,CVVH-Gegevens,NaN,NA,NaN,0,NA,NaN,173,mmHg,mm[Hg],NaN,NaN,NA,NA,numericitems,82927,73188
7667,Pre Filter PBE,CRRT pre-filter pressure / pre-blood entry pressure,NaN,NaN,NaN,PBE,350,CVVH-Gegevens,NaN,NA,NaN,0,NA,NaN,173,mmHg,mm[Hg],NaN,NaN,NA,NA,numericitems,82909,73178
7668,Veneuze druk braun,CRRT return pressure,NaN,NaN,NaN,PV,350,CVVH-Gegevens,NaN,NA,NaN,0,NA,NaN,173,mmHg,mm[Hg],NaN,NaN,NA,NA,numericitems,82914,73172
7671,Negatieve filterdruk,CRRT ultrafiltration pressure,NaN,NaN,NaN,PD2,350,CVVH-Gegevens,NaN,NA,NaN,0,NA,NaN,173,mmHg,mm[Hg],NaN,NaN,NA,NA,numericitems,82539,72838
18843,IC NAS score,intensive care nursing activity score,NaN,NaN,NaN,IC NAS score,708,NAS score,NaN,NA,NaN,0,NA,NaN,191,Geen,NaN,NaN,NaN,NA,NA,numericitems,72018,72018
10736,Bloed-flow,CRRT blood flow,NaN,NaN,NaN,Bloed-flow,350,CVVH-Gegevens,NaN,NA,NaN,0,NA,NaN,24,ml/min,mL/min,NaN,NaN,NA,NA,numericitems,78572,68826
12459,TMP,CRRT transmembrane pressure,NaN,NaN,NaN,TMP,350,CVVH-Gegevens,NaN,NA,NaN,0,NA,NaN,173,mmHg,mm[Hg],NaN,NaN,NA,NA,numericitems,70867,61091
6735,Beste verbale reactie,Glasgow Coma Score verbal response subscore,LOINC,9270-0,Glasgow coma score verbal,V,335,NEURO-GCS,NaN,NA,NaN,0,1,Helder en adequaat (communicatie mogelijk),NA,NaN,[score],NaN,NaN,1,5,listitems,59420,59420
12444,Bloedflow ingesteld,CRRT blood flow setting,NaN,NaN,NaN,Bloedflow ingesteld,351,CVVH-Instellingen,NaN,NA,NaN,0,NA,NaN,24,ml/min,mL/min,NaN,NaN,NA,NA,numericitems,69828,59142
12452,Substitutieflow ingesteld,CRRT replacement fluid rate setting,NaN,NaN,NaN,Substitutieflow ingesteld,351,CVVH-Instellingen,NaN,NA,NaN,0,NA,NaN,46,ml/uur,mL/h,NaN,NaN,NA,NA,numericitems,68896,58329
9945,Bilirubine (bloed),bilirubin total,LOINC,54363-7,Bilirubin.total [Moles/volume] in Blood,Bilirubine (bloed),490,LAB-Chem-bloed,NaN,NA,NaN,1,NA,NaN,99,µmol/l,umol/L,0,20,NA,NA,numericitems,57386,57386
12451,Substitutie vloeistof volume ingesteld,CRRT replacement fluid rate setting,NaN,NaN,NaN,Substitutie vloeistof volume ingesteld,351,CVVH-Instellingen,NaN,NA,NaN,0,NA,NaN,6,ml,mL,NaN,NaN,NA,NA,numericitems,67952,57152
6657,PCWP wedge,pulmonary capillary wedge pressure,LOINC,75994-4,Pulmonary artery wedge pressure,PCWP,325,HD-Profiel,hemodynamic profile,NA,NaN,0,NA,NaN,173,mmHg,mm[Hg],NaN,NaN,0,40,numericitems,53751,52586
13062,Temp Oor,tympanic temperature,LOINC,76011-6,Ear temperature,Temp Oor,322,HD-Temperatuur,hemodynamics-temperature,NA,NaN,0,NA,NaN,59,°C,Cel,NaN,NaN,NA,NA,numericitems,52540,51052
8852,P max,peak inspiratory airway pressure,LOINC,19976-0,Maximum [Pressure] Respiratory system airway opening --during inspiration on ventilator,P max,330,ZZ-OUD-Resp-Evita Machinegegevens,NaN,NA,NaN,0,NA,NaN,177,mbar,mbar,NaN,NaN,NA,NA,numericitems,57509,50839
6656,Cardiac Output,cardiac output,LOINC,8741-1,Left ventricular Cardiac output,CO,325,HD-Profiel,hemodynamic profile,NA,NaN,0,NA,NaN,26,l/min,L/min,NaN,NaN,0,17,numericitems,52738,50371
16110,Temp Oesophagus,esophageal temperature,LOINC,60836-4,Esophageal temperature,Temp Oesophagus,322,HD-Temperatuur,hemodynamics-temperature,NA,NaN,0,NA,NaN,59,°C,Cel,NaN,NaN,NA,NA,numericitems,833973,46044
8850,Frequentie,respiratory rate setting,LOINC,19834-1,Breath rate setting Ventilator,Frequentie,330,ZZ-OUD-Resp-Evita Machinegegevens,NaN,NA,NaN,0,NA,NaN,0,None,NaN,NaN,NaN,NA,NA,numericitems,57008,41425
7726,Ademfrequentie Spontaan,respiratory rate spontaneous,LOINC,19839-0,Breath rate spontaneous --on ventilator,AF Spontaan,331,ZZ-OUD-Resp-PatientGeg.,NaN,NA,NaN,0,NA,NaN,0,None,NaN,NaN,NaN,NA,NA,numericitems,44843,40932
13063,Temp Huid,skin temperature,LOINC,39106-0,Temperature of Skin,Temp Huid,322,HD-Temperatuur,hemodynamics-temperature,NA,NaN,0,NA,NaN,59,°C,Cel,NaN,NaN,NA,NA,numericitems,1948535,34859
18618,MC NAS score,medium care nursing activity score,NaN,NaN,NaN,MC NAS score,708,NAS score,NaN,NA,NaN,0,NA,NaN,191,Geen,NaN,NaN,NaN,NA,NA,numericitems,34620,34620
13058,Temp Rectaal,rectal temperature,LOINC,8332-9,Rectal temperature,Temp Rectaal,322,HD-Temperatuur,hemodynamics-temperature,NA,NaN,0,NA,NaN,59,°C,Cel,NaN,NaN,NA,NA,numericitems,387259,34195
8851,Tidal Volume (Set),tidal volume setting,LOINC,20112-9,Tidal volume setting Ventilator,Tidal. Vol (set),330,ZZ-OUD-Resp-Evita Machinegegevens,NaN,NA,NaN,0,NA,NaN,6,ml,mL,NaN,NaN,NA,NA,numericitems,43121,27767
8659,Temperatuur Perifeer 2,peripheral temperature,LOINC,61008-9,Body surface temperature,Temp Perifeer 2,322,HD-Temperatuur,hemodynamics-temperature,NA,NaN,0,NA,NaN,59,°C,Cel,NaN,NaN,NA,NA,numericitems,27999,27082
7433,PO2,partial pressure of oxygen blood,LOINC,11556-8,Oxygen [Partial pressure] in Blood,PO2,372,LAB ASTRUPS,NaN,NA,NaN,1,NA,NaN,173,mmHg,mm[Hg],NaN,NaN,NA,NA,numericitems,25372,25372
6848,PH,blood pH,LOINC,11558-4,pH of Blood,PH,372,LAB ASTRUPS,NaN,NA,NaN,1,NA,NaN,0,None,NaN,"7,35","7,5",NA,NA,numericitems,25371,25371
6846,PCO2,partial pressure of carbon dioxide in blood,LOINC,11557-6,Carbon dioxide [Partial pressure] in Blood,PCO2,372,LAB ASTRUPS,NaN,NA,NaN,1,NA,NaN,173,mmHg,mm[Hg],36,44,NA,NA,numericitems,25348,25348
20079,MFT_Filtraatvolume_totaal,CRRT net ultrafiltration volume total,NaN,NaN,NaN,MFT_Filtraatvolume_totaal,681,CVVH-MFT,NaN,NA,NaN,0,NA,NaN,8,l,L,NaN,NaN,NA,NA,numericitems,1664541,24943
20078,MFT_Filtraatvolume_huidig,CRRT net ultrafiltration volume current,NaN,NaN,NaN,MFT_Filtraatvolume_huidig,681,CVVH-MFT,NaN,NA,NaN,0,NA,NaN,8,l,L,NaN,NaN,NA,NA,numericitems,1664478,24934
7432,Afnameplaats,specimen source,LOINC,47938-6,Specimen source [Identifier] of Body fluid,Afn.plaats BLG,372,LAB ASTRUPS,NaN,NA,NaN,1,1,Arterieel,NA,NaN,NaN,NaN,NaN,NA,NA,listitems,24403,24403
12289,Volume (Set),minute volume setting,LOINC,33425-0,Minute volume setting Ventilator,Volume (Set),587,RESP-Servo Machinegegevens,NaN,NA,NaN,0,NA,NaN,26,l/min,L/min,NaN,NaN,NA,NA,numericitems,319307,21990
9553,CtHB Astrup,hemoglobin (blood gas),LOINC,59260-0,Hemoglobin [Moles/volume] in Blood],CtHB Astrup,372,LAB ASTRUPS,NaN,NA,NaN,1,NA,NaN,97,mmol/l,mmol/L,"7,4","11,2",NA,NA,numericitems,21409,21409
8833,Pupil Rechts Grootte,Pupil diameter Right eye Manual,LOINC,8643-9,Pupil diameter Right eye Manual,Grootte Re,336,NEURO-Functies,NaN,NA,NaN,0,1,1 mm,NA,NaN,mm,NaN,NaN,0.1,15,listitems,21408,21408
8832,Pupil Links Grootte,Pupil diameter Left eye Manual,LOINC,8641-3,Pupil diameter Left eye Manual,Grootte Li,336,NEURO-Functies,NaN,NA,NaN,0,1,1 mm,NA,NaN,mm,NaN,NaN,0.1,15,listitems,20949,20949
